Date,Open,High,Low,Close
12/31/2021,4775.21,4786.83,4765.75,4766.18
12/30/2021,4794.23,4808.93,4775.33,4778.73
12/29/2021,4788.64,4804.06,4778.08,4793.06
12/28/2021,4795.49,4807.02,4780.04,4786.35
12/27/2021,4733.99,4791.49,4733.99,4791.19
12/23/2021,4703.96,4740.74,4703.96,4725.79
12/22/2021,4650.36,4697.67,4645.53,4696.56
12/21/2021,4594.96,4651.14,4583.16,4649.23
12/20/2021,4587.9,4587.9,4531.1,4568.02
12/17/2021,4652.5,4666.7,4600.22,4620.64
12/16/2021,4719.13,4731.99,4651.89,4668.67
12/15/2021,4636.46,4712.6,4611.22,4709.85
12/14/2021,4642.99,4660.47,4606.52,4634.09
12/13/2021,4710.3,4710.3,4667.6,4668.97
12-10-2021,4687.64,4713.57,4670.24,4712.02
12-09-2021,4691,4695.26,4665.98,4667.45
12-08-2021,4690.86,4705.06,4674.52,4701.21
12-07-2021,4631.97,4694.04,4631.97,4686.75
12-06-2021,4548.37,4612.6,4540.51,4591.67
12-03-2021,4589.49,4608.03,4495.12,4538.43
12-02-2021,4504.73,4595.46,4504.73,4577.1
12-01-2021,4602.82,4652.94,4510.27,4513.04
11/30/2021,4640.25,4646.02,4560,4567
11/29/2021,4628.75,4672.95,4625.26,4655.27
11/26/2021,4664.63,4664.63,4585.43,4594.62
11/24/2021,4675.78,4702.87,4659.89,4701.46
11/23/2021,4678.48,4699.39,4652.66,4690.7
11/22/2021,4712,4743.83,4682.17,4682.94
11/19/2021,4708.44,4717.75,4694.22,4697.96
11/18/2021,4700.72,4708.8,4672.78,4704.54
11/17/2021,4701.5,4701.5,4684.41,4688.67
11/16/2021,4679.42,4714.95,4679.42,4700.9
11/15/2021,4689.3,4697.42,4672.86,4682.8
11-12-2021,4655.24,4688.47,4650.77,4682.85
11-11-2021,4659.39,4664.55,4648.31,4649.27
11-10-2021,4670.26,4684.85,4630.86,4646.71
11-09-2021,4707.25,4708.53,4670.87,4685.25
11-08-2021,4701.48,4714.92,4694.39,4701.7
11-05-2021,4699.26,4718.5,4681.32,4697.53
11-04-2021,4662.93,4683,4662.59,4680.06
11-03-2021,4630.65,4663.46,4621.19,4660.57
11-02-2021,4613.34,4635.15,4613.34,4630.65
11-01-2021,4610.62,4620.34,4595.06,4613.67
10/29/2021,4572.87,4608.08,4567.59,4605.38
10/28/2021,4562.84,4597.55,4562.84,4596.42
10/27/2021,4580.22,4584.57,4551.66,4551.68
10/26/2021,4578.69,4598.53,4569.17,4574.79
10/25/2021,4553.69,4572.62,4537.36,4566.48
10/22/2021,4546.12,4559.67,4524,4544.9
10/21/2021,4532.24,4551.44,4526.89,4549.78
10/20/2021,4524.42,4540.87,4524.4,4536.19
10/19/2021,4497.34,4520.4,4496.41,4519.63
10/18/2021,4463.72,4488.75,4447.47,4486.46
10/15/2021,4447.69,4475.82,4447.69,4471.37
10/14/2021,4386.75,4439.73,4386.75,4438.26
10/13/2021,4358.01,4372.87,4329.92,4363.8
10-12-2021,4368.31,4374.89,4342.09,4350.65
10-11-2021,4385.44,4415.88,4360.59,4361.19
10-08-2021,4406.51,4412.02,4386.22,4391.34
10-07-2021,4383.73,4429.97,4383.73,4399.76
10-06-2021,4319.57,4365.57,4290.49,4363.55
10-05-2021,4309.87,4369.23,4309.87,4345.72
10-04-2021,4348.84,4355.51,4278.94,4300.46
10-01-2021,4317.16,4375.19,4288.52,4357.04
09/30/2021,4370.67,4382.55,4306.24,4307.54
09/29/2021,4362.41,4385.57,4355.08,4359.46
09/28/2021,4419.54,4419.54,4346.33,4352.63
09/27/2021,4442.12,4457.3,4436.19,4443.11
09/24/2021,4438.04,4463.12,4430.27,4455.48
09/23/2021,4406.75,4465.4,4406.75,4448.98
09/22/2021,4367.43,4416.75,4367.43,4395.64
09/21/2021,4374.45,4394.87,4347.96,4354.19
09/20/2021,4402.95,4402.95,4305.91,4357.73
09/17/2021,4469.74,4471.52,4427.76,4432.99
09/16/2021,4477.09,4485.87,4443.8,4473.75
09/15/2021,4447.49,4486.87,4438.37,4480.7
09/14/2021,4479.33,4485.68,4435.46,4443.05
09/13/2021,4474.81,4492.99,4445.7,4468.73
09-10-2021,4506.92,4520.47,4457.66,4458.58
09-09-2021,4513.02,4529.9,4492.07,4493.28
09-08-2021,4518.09,4521.79,4493.95,4514.07
09-07-2021,4535.38,4535.38,4513,4520.03
09-03-2021,4532.42,4541.45,4521.3,4535.43
09-02-2021,4534.48,4545.85,4524.66,4536.95
09-01-2021,4528.8,4537.11,4522.02,4524.09
08/31/2021,4529.75,4531.39,4515.8,4522.68
08/30/2021,4513.76,4537.36,4513.76,4528.79
08/27/2021,4474.1,4513.33,4474.1,4509.37
08/26/2021,4493.75,4495.9,4468.99,4470
08/25/2021,4490.45,4501.71,4485.66,4496.19
08/24/2021,4484.4,4492.81,4482.28,4486.23
08/23/2021,4450.29,4489.88,4450.29,4479.53
08/20/2021,4410.56,4444.35,4406.8,4441.67
08/19/2021,4382.44,4418.61,4367.73,4405.8
08/18/2021,4440.94,4454.32,4397.59,4400.27
08/17/2021,4462.12,4462.12,4417.83,4448.08
08/16/2021,4461.65,4480.26,4437.66,4479.71
08/13/2021,4464.84,4468.37,4460.82,4468
08-12-2021,4446.08,4461.77,4435.96,4460.83
08-11-2021,4442.18,4449.44,4436.42,4447.7
08-10-2021,4435.79,4445.21,4430.03,4436.75
08-09-2021,4437.77,4439.39,4424.74,4432.35
08-06-2021,4429.07,4440.82,4429.07,4436.52
08-05-2021,4408.86,4429.76,4408.86,4429.1
08-04-2021,4415.95,4416.17,4400.23,4402.66
08-03-2021,4392.74,4423.79,4373,4423.15
08-02-2021,4406.86,4422.18,4384.81,4387.16
07/30/2021,4395.12,4412.25,4389.65,4395.26
07/29/2021,4403.59,4429.97,4403.59,4419.15
07/28/2021,4402.95,4415.47,4387.01,4400.64
07/27/2021,4416.38,4416.38,4372.51,4401.46
07/26/2021,4409.58,4422.73,4405.45,4422.3
07/23/2021,4381.2,4415.18,4381.2,4411.79
07/22/2021,4361.27,4369.87,4350.06,4367.48
07/21/2021,4331.13,4359.7,4331.13,4358.69
07/20/2021,4265.11,4336.84,4262.05,4323.06
07/19/2021,4296.4,4296.4,4233.13,4258.49
07/16/2021,4367.43,4375.09,4322.53,4327.16
07/15/2021,4369.02,4369.02,4340.7,4360.03
07/14/2021,4380.11,4393.68,4362.36,4374.3
07/13/2021,4381.07,4392.37,4366.92,4369.21
07-12-2021,4372.41,4386.68,4364.03,4384.63
07-09-2021,4329.38,4371.6,4329.38,4369.55
07-08-2021,4321.07,4330.88,4289.37,4320.82
07-07-2021,4351.01,4361.88,4329.79,4358.13
07-06-2021,4356.46,4356.46,4314.37,4343.54
07-02-2021,4326.6,4355.43,4326.6,4352.34
07-01-2021,4300.73,4320.66,4300.73,4319.94
06/30/2021,4290.65,4302.43,4287.96,4297.5
06/29/2021,4293.21,4300.52,4287.04,4291.8
06/28/2021,4284.9,4292.14,4274.67,4290.61
06/25/2021,4274.45,4286.12,4271.16,4280.7
06/24/2021,4256.97,4271.28,4256.97,4266.49
06/23/2021,4249.27,4256.6,4241.43,4241.84
06/22/2021,4224.61,4255.84,4217.27,4246.44
06/21/2021,4173.4,4226.24,4173.4,4224.79
06/18/2021,4204.78,4204.78,4164.4,4166.45
06/17/2021,4220.37,4232.29,4196.05,4221.86
06/16/2021,4248.87,4251.89,4202.45,4223.7
06/15/2021,4255.28,4257.16,4238.35,4246.59
06/14/2021,4248.31,4255.59,4234.07,4255.15
06-11-2021,4242.9,4248.38,4232.25,4247.44
06-10-2021,4228.56,4249.74,4220.34,4239.18
06-09-2021,4232.99,4237.09,4218.74,4219.55
06-08-2021,4233.81,4236.74,4208.41,4227.26
06-07-2021,4229.34,4232.34,4215.66,4226.52
06-04-2021,4206.05,4233.45,4206.05,4229.89
06-03-2021,4191.43,4204.39,4167.93,4192.85
06-02-2021,4206.82,4217.37,4198.27,4208.12
06-01-2021,4216.52,4234.12,4197.59,4202.04
05/28/2021,4210.77,4218.36,4203.57,4204.11
05/27/2021,4201.94,4213.38,4197.78,4200.88
05/26/2021,4191.59,4202.61,4184.11,4195.99
05/25/2021,4205.94,4213.42,4182.52,4188.13
05/24/2021,4170.16,4209.52,4170.16,4197.05
05/21/2021,4168.61,4188.72,4151.72,4155.86
05/20/2021,4121.97,4172.8,4121.97,4159.12
05/19/2021,4098.45,4116.93,4061.41,4115.68
05/18/2021,4165.94,4169.15,4125.99,4127.83
05/17/2021,4169.92,4171.92,4142.69,4163.29
05/14/2021,4129.58,4183.13,4129.58,4173.85
05/13/2021,4074.99,4131.58,4074.99,4112.5
05-12-2021,4130.55,4134.73,4056.88,4063.04
05-11-2021,4150.34,4162.04,4111.53,4152.1
05-10-2021,4228.29,4236.39,4188.13,4188.43
05-07-2021,4210.34,4238.04,4201.64,4232.6
05-06-2021,4169.14,4202.7,4147.33,4201.62
05-05-2021,4177.06,4187.72,4160.94,4167.59
05-04-2021,4179.04,4179.04,4128.59,4164.66
05-03-2021,4191.98,4209.39,4188.03,4192.66
04/30/2021,4198.1,4198.1,4174.85,4181.17
04/29/2021,4206.14,4218.78,4176.81,4211.47
04/28/2021,4185.14,4201.53,4181.78,4183.18
04/27/2021,4188.25,4193.35,4176.22,4186.72
04/26/2021,4185.03,4194.19,4182.36,4187.62
04/23/2021,4138.78,4194.17,4138.78,4180.17
04/22/2021,4170.46,4179.57,4123.69,4134.98
04/21/2021,4128.42,4175.02,4126.35,4173.42
04/20/2021,4159.18,4159.18,4118.38,4134.94
04/19/2021,4179.8,4180.81,4150.47,4163.26
04/16/2021,4174.14,4191.31,4170.75,4185.47
04/15/2021,4139.76,4173.49,4139.76,4170.42
04/14/2021,4143.25,4151.69,4120.87,4124.66
04/13/2021,4130.1,4148,4124.43,4141.59
04-12-2021,4124.71,4131.76,4114.82,4127.99
04-09-2021,4096.11,4129.48,4095.51,4128.8
04-08-2021,4089.95,4098.19,4082.54,4097.17
04-07-2021,4074.29,4083.13,4068.31,4079.95
04-06-2021,4075.57,4086.23,4068.14,4073.94
04-05-2021,4034.44,4083.42,4034.44,4077.91
04-01-2021,3992.78,4020.63,3992.78,4019.87
03/31/2021,3967.25,3994.41,3966.98,3972.89
03/30/2021,3963.34,3968.01,3944.35,3958.55
03/29/2021,3969.31,3981.83,3943.25,3971.09
03/26/2021,3917.12,3978.19,3917.12,3974.54
03/25/2021,3879.34,3919.54,3853.5,3909.52
03/24/2021,3919.93,3942.08,3889.07,3889.14
03/23/2021,3937.6,3949.13,3901.57,3910.52
03/22/2021,3916.48,3955.31,3914.16,3940.59
03/19/2021,3913.14,3930.12,3886.75,3913.1
03/18/2021,3953.5,3969.62,3910.86,3915.46
03/17/2021,3949.57,3983.87,3935.74,3974.12
03/16/2021,3973.59,3981.04,3953.44,3962.71
03/15/2021,3942.96,3970.08,3923.54,3968.94
03-12-2021,3924.52,3944.99,3915.21,3943.34
03-11-2021,3915.54,3960.27,3915.54,3939.34
03-10-2021,3891.99,3917.35,3885.73,3898.81
03-09-2021,3851.93,3903.76,3851.93,3875.44
03-08-2021,3844.39,3881.06,3819.25,3821.35
03-05-2021,3793.58,3851.69,3730.19,3841.94
03-04-2021,3818.53,3843.67,3723.34,3768.47
03-03-2021,3863.99,3874.47,3818.86,3819.72
03-02-2021,3903.64,3906.41,3868.57,3870.29
03-01-2021,3842.51,3914.5,3842.51,3901.82
02/26/2021,3839.66,3861.08,3789.54,3811.15
02/25/2021,3915.8,3925.02,3814.04,3829.34
02/24/2021,3873.71,3928.65,3859.6,3925.43
02/23/2021,3857.07,3895.98,3805.59,3881.37
02/22/2021,3885.55,3902.92,3874.71,3876.5
02/19/2021,3921.16,3930.41,3903.07,3906.71
02/18/2021,3915.86,3921.98,3885.03,3913.97
02/17/2021,3918.5,3933.61,3900.43,3931.33
02/16/2021,3939.61,3950.43,3923.85,3932.59
02-12-2021,3911.65,3937.23,3905.78,3934.83
02-11-2021,3916.4,3925.99,3890.39,3916.38
02-10-2021,3920.78,3931.5,3884.94,3909.88
02-09-2021,3910.49,3918.35,3902.64,3911.23
02-08-2021,3892.59,3915.77,3892.59,3915.59
02-05-2021,3878.3,3894.56,3874.93,3886.83
02-04-2021,3836.66,3872.42,3836.66,3871.74
02-03-2021,3840.27,3847.51,3816.68,3830.17
02-02-2021,3791.84,3843.09,3791.84,3826.31
02-01-2021,3731.17,3784.32,3725.62,3773.86
01/29/2021,3778.05,3778.05,3694.12,3714.24
01/28/2021,3755.75,3830.5,3755.75,3787.38
01/27/2021,3836.83,3836.83,3732.48,3750.77
01/26/2021,3862.96,3870.9,3847.78,3849.62
01/25/2021,3851.68,3859.23,3797.16,3855.36
01/22/2021,3844.24,3852.31,3830.41,3841.47
01/21/2021,3857.46,3861.45,3845.05,3853.07
01/20/2021,3816.22,3859.75,3816.22,3851.85
01/19/2021,3781.88,3804.53,3780.37,3798.91
01/15/2021,3788.73,3788.73,3749.62,3768.25
01/14/2021,3814.98,3823.6,3792.86,3795.54
01/13/2021,3802.23,3820.96,3791.5,3809.84
01-12-2021,3801.62,3810.78,3776.51,3801.19
01-11-2021,3803.14,3817.86,3789.02,3799.61
01-08-2021,3815.05,3826.69,3783.6,3824.68
01-07-2021,3764.71,3811.55,3764.71,3803.79
01-06-2021,3712.2,3783.04,3705.34,3748.14
01-05-2021,3698.02,3737.83,3695.07,3726.86
01-04-2021,3764.61,3769.99,3662.71,3700.65
